V1.8-6 eval run summary
tag=baseline-96e94ab-20260505-213533 sha=96e94ab started=20260505-213533

corpus                        passed      total
----                            ----       ----
identity_writes                    6         11
preference_changes                 4          6
multi_entity                       3          6
relational_queries                 1          1
long_context_pass_c                2          2

TOTAL                             16         26

overall F1 = 0.615
