V1.8-6 eval run summary
tag=baseline-b90c595-20260505-093026 sha=b90c595 started=20260505-093026

corpus                        passed      total
----                            ----       ----
identity_writes                    9         11
preference_changes                 4          6
multi_entity                       5          6
relational_queries                 1          1
long_context_pass_c                2          2

TOTAL                             21         26

overall F1 = 0.808
