V1.8-6 eval run summary
tag=baseline-e4572a3-20260505-212045 sha=e4572a3 started=20260505-212045

corpus                        passed      total
----                            ----       ----
identity_writes                    8         11
preference_changes                 5          6
multi_entity                       5          6
relational_queries                 1          1
long_context_pass_c                2          2

TOTAL                             21         26

overall F1 = 0.808
